date	link	text
2018-05-10 17:13	https://newyork.craigslist.org/brk/egr/d/project-architect/6585525488.html	Project Architect
2018-05-10 15:51	https://newyork.craigslist.org/brk/egr/d/expediter-pm/6585440395.html	Expediter, PM
2018-05-10 14:38	https://newyork.craigslist.org/brk/egr/d/cad-drafter-submittal/6585359886.html	CAD DRAFTER & SUBMITTAL SPECIALIST
2018-05-10 11:26	https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6585131724.html	IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES
2018-05-10 11:23	https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6585127975.html	Architect Project Manager Position
2018-05-10 10:48	https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6585089516.html	Architect/Engineer/Construction Manager
2018-05-10 10:13	https://newyork.craigslist.org/mnh/egr/d/job-captain-project-architect/6585053891.html	Job Captain / Project Architect
2018-05-09 22:30	https://newyork.craigslist.org/que/egr/d/construction-inspector/6584825810.html	Construction Inspector - Railroad Construction - Queens/Nassau County
2018-05-09 15:26	https://newyork.craigslist.org/mnh/egr/d/energy-modeler-2yrselectrical/6584466443.html	Energy Modeler (2+yrs)Electrical Engineer (1+ yrs)
2018-05-09 14:37	https://newyork.craigslist.org/lgi/egr/d/drafter-cnc-experience/6584409236.html	Drafter w/ CNC  Experience
2018-05-09 14:35	https://newyork.craigslist.org/lgi/egr/d/draftsman-autocad/6584406661.html	Draftsman - AutoCad
2018-05-09 13:38	https://newyork.craigslist.org/que/egr/d/auto-cad-steel-beam-details/6584339054.html	Auto Cad/ STEEL I Beam Details Drafts Person
2018-05-09 12:33	https://newyork.craigslist.org/mnh/egr/d/architects/6584258020.html	Architects
2018-05-09 11:22	https://newyork.craigslist.org/brk/egr/d/cad-operator/6584170912.html	CAD Operator
2018-05-09 09:55	https://newyork.craigslist.org/mnh/egr/d/dob-expeditor/6584077448.html	DOB Expeditor
2018-05-09 09:30	https://newyork.craigslist.org/mnh/egr/d/senior-interior-designer/6584054772.html	Senior Interior Designer
2018-05-09 09:23	https://newyork.craigslist.org/lgi/egr/d/junior-project-manager/6584048287.html	Junior Project Manager
2018-05-08 18:17	https://newyork.craigslist.org/que/egr/d/cad-assistant-operator/6583680004.html	CAD ASSISTANT - OPERATOR
2018-05-08 17:32	https://newyork.craigslist.org/que/egr/d/junior-estimator/6583637741.html	Junior Estimator
2018-05-08 15:58	https://newyork.craigslist.org/mnh/egr/d/engineer-must-be-aws-icc/6583538438.html	Engineer - MUST be AWS/ ICC Certified!!
2018-05-08 15:01	https://newyork.craigslist.org/mnh/egr/d/restoration-field-specialist/6583472830.html	Restoration Field Specialist
2018-05-08 13:59	https://newyork.craigslist.org/que/egr/d/civil-engineer-student-wanted/6583399179.html	Civil Engineer/Student Wanted - Entry Level Position
2018-05-08 12:44	https://newyork.craigslist.org/brx/egr/d/jr-solar-pv-designer-engineer/6583308426.html	Jr. Solar PV Designer / Engineer
2018-05-08 12:19	https://newyork.craigslist.org/wch/egr/d/flooring-project-manager/6583277688.html	Flooring Project Manager
2018-05-08 11:50	https://newyork.craigslist.org/mnh/egr/d/architectural-draftsperson/6583241131.html	Architectural Draftsperson
2018-05-08 11:19	https://newyork.craigslist.org/mnh/egr/d/sr-interior-designer-custom/6583203218.html	Sr. Interior Designer / Custom Residential
2018-05-08 10:28	https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6583145605.html	Construction Project Manager and Assistant Project Manager
2018-05-08 10:22	https://newyork.craigslist.org/mnh/egr/d/interior-designer-master/6583139712.html	Interior Designer/ Master Draftsman
2018-05-07 21:26	https://newyork.craigslist.org/mnh/egr/d/civil-structural-engineer/6582848118.html	CIVIL/STRUCTURAL ENGINEER WANTED
2018-05-07 18:44	https://newyork.craigslist.org/que/egr/d/full-time-junior-architects/6582717935.html	Full Time Junior Architects (Paid) and Interns
2018-05-07 16:22	https://newyork.craigslist.org/mnh/egr/d/architectural-office-seeks/6582572476.html	Architectural Office Seeks Graphics & Administrative Assistant
2018-05-07 15:06	https://newyork.craigslist.org/brk/egr/d/construction-foreman-safety/6582483291.html	Construction FOREMAN /Safety Manager- for Masonry Construction Company
2018-05-07 14:24	https://newyork.craigslist.org/mnh/egr/d/autodesk-recap-pro-and-point/6582430987.html	Autodesk RECAP PRO and POINT CLOUD expert
2018-05-07 13:45	https://newyork.craigslist.org/mnh/egr/d/entry-architect-needed/6582382440.html	Entry Architect needed Midtown NYC
2018-05-07 12:41	https://newyork.craigslist.org/brk/egr/d/pcb-designer/6582300331.html	PCB Designer
2018-05-07 10:38	https://newyork.craigslist.org/que/egr/d/draftsperson-designer/6582146913.html	Draftsperson/Designer
2018-05-07 10:23	https://newyork.craigslist.org/mnh/egr/d/cad-drafter-revit-modeler/6582130224.html	CAD Drafter & REVIT Modeler
2018-05-07 09:35	https://newyork.craigslist.org/mnh/egr/d/top-expediting-firm-immediate/6582081638.html	Top Expediting Firm- Immediate Full time Openings- Excellent Benefits
2018-05-06 22:18	https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6581881460.html	IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES
2018-05-06 20:05	https://newyork.craigslist.org/mnh/egr/d/intern-architect-construction/6581796611.html	intern- Architect, Construction Management
2018-05-06 11:23	https://newyork.craigslist.org/brk/egr/d/summer-position-maybe-longer/6581344742.html	Summer position, maybe longer
2018-05-05 20:23	https://newyork.craigslist.org/brk/egr/d/construction-intern/6581054116.html	Construction Intern
2018-05-05 17:54	https://newyork.craigslist.org/mnh/egr/d/industrial-designer-autocad/6580954082.html	Industrial Designer - AutoCad for Consumer Products  (Part-Time)
2018-05-05 09:54	https://newyork.craigslist.org/mnh/egr/d/estimator-drywall-acoustical/6580467987.html	ESTIMATOR - DRYWALL & ACOUSTICAL
2018-05-04 20:35	https://newyork.craigslist.org/mnh/egr/d/engineering-service/6580194411.html	(Engineering  Service ) -   Electrical  design Freelance
2018-05-04 17:59	https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6580070106.html	Facade / Building Envelope Engineer or Architect
2018-05-04 17:58	https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6580069158.html	Facade / Building Envelope Project Architect or Engineer
2018-05-04 15:55	https://newyork.craigslist.org/lgi/egr/d/architect/6579940031.html	ARCHITECT
2018-05-04 15:40	https://newyork.craigslist.org/mnh/egr/d/architect-summer-internship/6579923028.html	Architect Summer Internship
